obs_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
"=""91.8125""","=""5600""","=""5.0659e+04""",AAA,"=""0.00000000000000""","=""13.50400193""","=""1s""","=""2S""","=""1/2""","=""12""","=""""","=""""",,
"=""91.81293175""","=""""","=""""",,"=""0.00000000000000""","=""[13.504001678]""","=""1s""","=""2S""","=""1/2""","=""12s""","=""2S""","=""1/2""",M1,
"=""91.8130""","=""""","=""""",,"=""0.00000000000000""","=""[13.504001867]""","=""1s""","=""2S""","=""1/2""","=""12p""","=""2P*""","=""3/2""",,
"=""91.8130""","=""""","=""""",,"=""0.00000000000000""","=""[13.504001658]""","=""1s""","=""2S""","=""1/2""","=""12p""","=""2P*""","=""1/2""",,
"=""91.9342""","=""6100""","=""7.8340e+04""",AAA,"=""0.00000000000000""","=""13.48605194""","=""1s""","=""2S""","=""1/2""","=""11""","=""""","=""""",,
"=""91.9349""","=""""","=""""",,"=""0.00000000000000""","=""[13.486051827]""","=""1s""","=""2S""","=""1/2""","=""11p""","=""2P*""","=""3/2""",,
"=""91.9349""","=""""","=""""",,"=""0.00000000000000""","=""[13.486051554]""","=""1s""","=""2S""","=""1/2""","=""11p""","=""2P*""","=""1/2""",,
"=""91.935133578""","=""""","=""""",,"=""0.00000000000000""","=""[13.486051916]""","=""1s""","=""2S""","=""1/2""","=""11d""","=""2D""","=""5/2""",E2,
"=""91.93513586""","=""""","=""""",,"=""0.00000000000000""","=""[13.486051581]""","=""1s""","=""2S""","=""1/2""","=""11s""","=""2S""","=""1/2""",M1,
"=""92.0947""","=""7400""","=""1.2631e+05""",AAA,"=""0.00000000000000""","=""13.46245155""","=""1s""","=""2S""","=""1/2""","=""10""","=""""","=""""",,
"=""92.09630369""","=""""","=""""",,"=""0.00000000000000""","=""[13.462451094]""","=""1s""","=""2S""","=""1/2""","=""10s""","=""2S""","=""1/2""",M1,
"=""92.0970""","=""""","=""""",,"=""0.00000000000000""","=""[13.462451421]""","=""1s""","=""2S""","=""1/2""","=""10p""","=""2P*""","=""3/2""",,
"=""92.0970""","=""""","=""""",,"=""0.00000000000000""","=""[13.462451058]""","=""1s""","=""2S""","=""1/2""","=""10p""","=""2P*""","=""1/2""",,
"=""92.3148""","=""12000""","=""2.1425e+05""",AAA,"=""0.00000000000000""","=""13.43055424""","=""1s""","=""2S""","=""1/2""","=""9""","=""""","=""""",,
